Date,open,high,low,close,volume
2026-03-04,2575.7609535201655,2585.5733762002424,2531.997452542583,2539.2587890625,3446434
2026-03-05,2551.229777430436,2560.551578540278,2498.6350985020495,2530.427490234375,2960636
2026-03-06,2523.7550365456814,2570.069622274581,2505.7002751879877,2509.625244140625,3998643
2026-03-09,2482.54302502939,2511.9802941008847,2458.0119674698108,2479.99169921875,3653428
2026-03-10,2493.3365235176843,2497.45769299971,2443.39138949283,2465.9599609375,4323710
2026-03-11,2461.053921737681,2473.711851651557,2413.954291083466,2418.6640625,2720664
2026-03-12,2413.6596961153996,2426.513825649523,2390.3060830242093,2396.5859375,2752075
2026-03-13,2391.287343235487,2400.0203033629555,2352.0376535639975,2365.284423828125,2466488
2026-03-16,2364.793830777467,2379.5124645789865,2321.7173916761253,2364.0087890625,3807907
2026-03-17,2374.6063631722786,2374.6063631722786,2315.7318252423875,2346.837158203125,2993367
2026-03-18,2364.793804301608,2436.326267951688,2364.793804301608,2395.01611328125,3082388
2026-03-19,2371.6624152761565,2378.5311107279285,2306.115387909886,2311.806640625,2757060
2026-03-20,2341.2440023374425,2362.6351312433567,2319.8528734315287,2345.7578125,4206320
2026-03-23,2320.6378037995523,2361.6537756859007,2303.956686393805,2339.085205078125,3860515
2026-03-24,2359.0045869106293,2389.7172776589064,2334.47353068287,2353.803955078125,3420182
2026-03-25,2355.864368126978,2376.1762738846405,2325.3478785890734,2332.80517578125,5843778
2026-03-27,2358.8080275261386,2376.6668272056972,2340.262645780238,2344.97265625,4979411
2026-03-30,2330.5484146912077,2353.0187649541185,2302.1903717438945,2314.652099609375,6804756
2026-04-01,2383.437228779803,2425.6306420517385,2352.9205014959025,2363.02734375,4132661
2026-04-02,2341.24390183887,2423.570027038862,2331.1370592120925,2404.730224609375,5378361
2026-04-06,2427.593337237373,2435.4432752720936,2402.2772391631793,2427.4951171875,2572417
2026-04-07,2414.837240451596,2496.182129281132,2402.0810908677395,2492.1591796875,4516550
2026-04-08,2523.755016821873,2531.899375247164,2492.453485493659,2511.195068359375,4769337
2026-04-09,2506.0927992754805,2556.136155878084,2483.622446743067,2540.436279296875,5628261
2026-04-10,2517.671257898199,2517.671257898199,2454.1849361455575,2476.94970703125,10480239
2026-04-13,2443.195026142192,2457.9136601554055,2423.6684008424363,2426.2197265625,3739587
2026-04-15,2454.9699887251027,2510.9990192902537,2446.629429262826,2506.975830078125,5261384
2026-04-16,2523.754997213638,2545.3423261167095,2510.0176060935014,2528.56298828125,3905403
2026-04-17,2521.7923752088177,2540.435976426315,2507.9567647966655,2533.07666015625,2718206
2026-04-20,2538.571963483115,2545.3424392975157,2513.15764504414,2531.212646484375,2288558
2026-04-21,2511.9802240950007,2564.9673069470045,2511.9802240950007,2561.532958984375,2719959
2026-04-22,2531.6050998221144,2531.6050998221144,2456.6382849386455,2490.883544921875,5232045
2026-04-23,2481.5617226658205,2511.4896121641627,2469.0999936393873,2474.496826171875,2509050
2026-04-24,2441.3307179215667,2458.0118361710306,2343.991534636913,2351.939453125,5107719
2026-04-27,2351.9393059532576,2412.874541687738,2351.9393059532576,2401.6884765625,5853425
2026-04-28,2398.155951805419,2440.349366669426,2381.867235359066,2398.8427734375,4508363
2026-04-29,2405.024637022461,2441.2323784506298,2401.688509360205,2428.280029296875,2835961
2026-04-30,2432.4995485090735,2444.2744555611544,2392.26861608113,2427.4951171875,3970446
2026-05-01,2427.4951171875,2427.4951171875,2427.4951171875,2427.4951171875,0
2026-05-04,2447.2181772447047,2451.4375668418284,2379.512461835769,2385.6943359375,2632358
2026-05-05,2384.418837601779,2414.248508305356,2366.9526763935437,2381.76953125,3385720
2026-05-06,2396.0953597954776,2424.6496051586114,2361.3594798924314,2389.71728515625,3147628
2026-05-07,2392.4647422177254,2393.9366055534624,2353.018852732181,2356.35498046875,5829594
2026-05-08,2353.018651512491,2361.8498307717123,2330.5483023329007,2349.486083984375,3792199
2026-05-11,2326.5252955775945,2369.699953108347,2326.5252955775945,2348.014404296875,1975188
2026-05-12,2330.450360002076,2330.450360002076,2240.176072372522,2257.151611328125,6347884
2026-05-13,2262.7444282326155,2265.8843552424923,2226.4384681959255,2230.167236328125,3171843
2026-05-14,2222.513720137884,2222.513720137884,2165.012827845418,2203.8701171875,5633313
2026-05-15,2209.7575636145925,2261.665183205434,2209.7575636145925,2221.532470703125,3410637
2026-05-18,2221.5322685970373,2249.8900714309348,2209.953563101145,2240.3720703125,3773336
2026-05-19,2256.857213357978,2333.0017090765828,2254.0117066090534,2283.448974609375,10394707
2026-05-20,2280.308816116464,2298.0693970332622,2274.3233820043192,2283.7431640625,2537422
2026-05-21,2287.275643394801,2292.0836345084317,2270.594525446405,2283.546875,3299087
2026-05-22,2287.373709336333,2296.1066687906364,2264.805139514887,2273.83251953125,2617262
2026-05-25,2312.3217190072714,2313.415817804508,2280.496215777924,2295.61328125,3298364
2026-05-26,2295.613098349941,2315.205623652634,2260.008270887014,2263.78759765625,3587597
2026-05-27,2262.5943570616037,2283.0821217701528,2248.571147658945,2271.744140625,2653950
2026-05-28,2271.744140625,2271.744140625,2271.744140625,2271.744140625,0
2026-05-29,2278.507085795833,2321.2726050840133,2222.81245602518,2246.58203125,16331582
2026-06-01,2271.5452382799426,2322.267132829976,2267.5670504720965,2284.8720703125,7505095
